Landowners|Budget|Expected Damage|Run Time|Allocation|Levels|Total Budget Used|Remaining Budget|Maximum Amount Offered|Level Amounts|Area of Each Landowner
3|20000|138.051011176|96.5926164427|[0, 1, 1]|2|19014.7103883|985.289611715|39.8288066012|[0.0, 19.9144033006]|[1207.3654999999999, 484.33, 470.49199999999996]
3|20000|134.983150066|106.033336894|[1, 3, 0]|5|18067.4195628|1932.58043722|39.8288066012|[0.0, 4.97860082515, 14.93580247545, 24.89300412575, 34.850205776050004]|[1207.3654999999999, 484.33, 470.49199999999996]
3|20000|131.090447586|90.1316046466|[2, 6, 0]|10|19803.1625501|196.837449881|39.8288066012|[0.0, 2.2127114778444446, 6.6381344335333337, 11.063557389222222, 15.488980344911113, 19.9144033006, 24.339826256288887, 28.765249211977775, 33.190672167666662, 37.616095123355549]|[1207.3654999999999, 484.33, 470.49199999999996]
3|20000|131.874943026|92.232458853|[4, 6, 0]|15|19600.3083531|399.691646858|39.8288066012|[0.0, 1.4224573786142858, 4.2673721358428569, 7.1122868930714285, 9.9572016503, 12.802116407528572, 15.647031164757145, 18.491945921985717, 21.33686067921429, 24.181775436442862, 27.026690193671435, 29.871604950900007, 32.71651970812858, 35.561434465357152, 38.406349222585717]|[1207.3654999999999, 484.33, 470.49199999999996]
3|40000|98.6595542134|92.0529276458|[1, 1, 0]|2|33689.1064488|6310.89355119|39.8288066012|[0.0, 19.9144033006]|[1207.3654999999999, 484.33, 470.49199999999996]
3|40000|88.8637448735|94.8564445994|[3, 2, 1]|5|39631.2034451|368.796554851|39.8288066012|[0.0, 4.97860082515, 14.93580247545, 24.89300412575, 34.850205776050004]|[1207.3654999999999, 484.33, 470.49199999999996]
3|40000|87.818456186|92.5075774653|[6, 5, 0]|10|39032.2094484|967.790551583|39.8288066012|[0.0, 2.2127114778444446, 6.6381344335333337, 11.063557389222222, 15.488980344911113, 19.9144033006, 24.339826256288887, 28.765249211977775, 33.190672167666662, 37.616095123355549]|[1207.3654999999999, 484.33, 470.49199999999996]
3|40000|86.6422474214|94.7652166079|[9, 8, 0]|15|39530.3231235|469.676876528|39.8288066012|[0.0, 1.4224573786142858, 4.2673721358428569, 7.1122868930714285, 9.9572016503, 12.802116407528572, 15.647031164757145, 18.491945921985717, 21.33686067921429, 24.181775436442862, 27.026690193671435, 29.871604950900007, 32.71651970812858, 35.561434465357152, 38.406349222585717]|[1207.3654999999999, 484.33, 470.49199999999996]
3|60000|83.8985087131|92.0006089798|[1, 1, 1]|2|43058.6738865|16941.3261135|39.8288066012|[0.0, 19.9144033006]|[1207.3654999999999, 484.33, 470.49199999999996]
3|60000|56.6436966247|97.4084654279|[4, 4, 0]|5|58955.9362854|1044.06371458|39.8288066012|[0.0, 4.97860082515, 14.93580247545, 24.89300412575, 34.850205776050004]|[1207.3654999999999, 484.33, 470.49199999999996]
3|60000|55.3060379801|112.387670401|[8, 7, 3]|10|59210.4608911|789.539108942|39.8288066012|[0.0, 2.2127114778444446, 6.6381344335333337, 11.063557389222222, 15.488980344911113, 19.9144033006, 24.339826256288887, 28.765249211977775, 33.190672167666662, 37.616095123355549]|[1207.3654999999999, 484.33, 470.49199999999996]
3|60000|53.8976494153|95.0852058576|[12, 10, 6]|15|59952.4370239|47.5629760657|39.8288066012|[0.0, 1.4224573786142858, 4.2673721358428569, 7.1122868930714285, 9.9572016503, 12.802116407528572, 15.647031164757145, 18.491945921985717, 21.33686067921429, 24.181775436442862, 27.026690193671435, 29.871604950900007, 32.71651970812858, 35.561434465357152, 38.406349222585717]|[1207.3654999999999, 484.33, 470.49199999999996]
3|80000|83.8985087131|98.1510615902|[1, 1, 1]|2|43058.6738865|36941.3261135|39.8288066012|[0.0, 19.9144033006]|[1207.3654999999999, 484.33, 470.49199999999996]
3|80000|35.1912664033|95.0450508224|[4, 4, 4]|5|75352.6793014|4647.3206986|39.8288066012|[0.0, 4.97860082515, 14.93580247545, 24.89300412575, 34.850205776050004]|[1207.3654999999999, 484.33, 470.49199999999996]
3|80000|31.1839411946|94.0718311096|[9, 9, 8]|10|79250.9245773|749.075422738|39.8288066012|[0.0, 2.2127114778444446, 6.6381344335333337, 11.063557389222222, 15.488980344911113, 19.9144033006, 24.339826256288887, 28.765249211977775, 33.190672167666662, 37.616095123355549]|[1207.3654999999999, 484.33, 470.49199999999996]
3|80000|31.3787616997|95.1034805744|[14, 14, 11]|15|79026.1993078|973.800692164|39.8288066012|[0.0, 1.4224573786142858, 4.2673721358428569, 7.1122868930714285, 9.9572016503, 12.802116407528572, 15.647031164757145, 18.491945921985717, 21.33686067921429, 24.181775436442862, 27.026690193671435, 29.871604950900007, 32.71651970812858, 35.561434465357152, 38.406349222585717]|[1207.3654999999999, 484.33, 470.49199999999996]
3|100000|83.8985087131|93.8945605785|[1, 1, 1]|2|43058.6738865|56941.3261135|39.8288066012|[0.0, 19.9144033006]|[1207.3654999999999, 484.33, 470.49199999999996]
3|100000|35.1912664033|95.833999017|[4, 4, 4]|5|75352.6793014|24647.3206986|39.8288066012|[0.0, 4.97860082515, 14.93580247545, 24.89300412575, 34.850205776050004]|[1207.3654999999999, 484.33, 470.49199999999996]
