0.10	0.12	0.42	0.38	0.77	0.62	0.38	0.20	0.66	0.26	0.36	0.22	0.11	0.25	0.58	0.62	0.11	0.19	0.12	0.20	0.53	0.54	0.64	0.59	0.56
0.17	0.13	0.11	0.15	0.18	0.19	0.08	0.16	0.63	0.20	0.30	0.20	0.20	0.17	0.34	0.52	0.40	0.48	0.18	0.16	0.36	0.59	0.83	0.39	0.12
0.10	0.27	0.45	0.30	0.26	0.14	0.14	0.30	0.34	0.26	0.47	0.73	0.52	0.27	0.21	0.38	0.36	0.33	0.12	0.42	0.28	0.58	0.49	0.32	0.06
0.52	0.77	0.73	0.61	1.08	0.26	0.16	0.53	0.78	0.46	0.63	0.57	0.48	0.41	0.36	0.28	0.33	0.60	0.28	0.34	0.34	0.42	0.44	0.19	0.06
0.21	0.10	0.17	1.64	1.21	0.27	0.58	0.67	0.45	0.40	0.54	0.43	0.66	0.68	0.58	0.23	0.19	0.47	0.43	0.19	0.46	0.57	0.34	0.07	0.07
0.07	0.17	0.40	2.37	1.27	0.17	0.34	0.39	0.40	0.58	1.13	0.64	0.54	0.65	0.60	0.47	0.19	0.18	0.16	0.51	0.55	0.51	0.50	0.34	0.24
0.10	0.27	0.48	1.13	1.11	0.60	0.40	0.39	0.25	0.56	1.08	1.18	0.24	0.30	0.49	0.46	0.29	0.29	0.17	0.32	0.44	0.49	0.71	0.46	0.39
0.15	0.28	0.33	0.67	1.42	1.00	0.39	0.16	0.48	0.27	0.65	0.92	0.42	0.41	0.53	0.28	0.16	0.34	0.21	0.44	0.41	0.34	0.66	0.61	0.34
0.64	0.28	0.26	0.79	0.93	1.02	0.30	0.23	0.40	0.54	0.30	0.63	0.57	0.09	0.45	0.42	0.44	0.19	0.28	0.49	0.64	0.45	0.60	0.43	0.34
0.41	0.98	0.16	0.79	0.63	0.46	0.12	0.18	0.39	0.41	0.25	0.52	0.58	0.19	0.21	0.43	0.51	0.14	0.60	0.64	0.71	1.06	0.60	0.46	0.41
0.32	0.33	0.12	0.43	0.57	0.41	0.23	0.21	0.34	0.28	0.23	0.32	0.43	0.31	0.13	0.39	0.54	0.22	0.68	0.67	0.68	1.21	0.18	0.37	0.36
0.36	0.08	0.11	0.12	0.61	0.30	0.45	0.18	0.57	0.57	0.37	0.23	0.42	0.51	0.25	0.52	0.66	0.37	0.65	1.02	0.67	0.75	0.33	0.22	0.24
0.06	0.15	0.12	0.13	0.62	0.69	0.59	0.44	0.39	0.82	0.38	0.68	0.57	0.37	0.37	0.56	0.61	0.22	0.59	0.38	0.72	0.72	0.17	0.31	0.15
0.33	0.16	0.04	0.15	0.25	0.12	0.17	1.11	0.27	0.50	0.15	0.17	0.25	0.47	0.63	0.53	0.47	0.28	0.66	0.85	0.84	0.39	0.27	0.26	0.05
0.21	0.22	0.20	0.13	0.20	0.16	0.21	0.59	0.91	0.45	0.24	0.08	0.11	0.17	0.31	0.40	0.32	0.47	0.57	0.70	0.47	0.09	0.17	0.35	0.11
0.18	0.18	0.28	0.38	0.11	0.10	0.14	0.43	0.83	0.24	0.17	0.10	0.06	0.08	0.09	0.27	0.19	0.65	0.39	0.57	0.43	0.07	0.39	0.28	0.07
0.19	0.14	0.25	0.10	0.08	0.10	0.09	0.30	0.29	0.46	0.13	0.11	0.07	0.06	0.06	0.26	0.22	0.58	0.35	0.34	0.24	0.19	0.35	0.23	0.09
0.24	0.30	0.36	0.07	0.10	0.12	0.12	0.23	0.18	0.17	0.17	0.18	0.05	0.05	0.11	0.31	0.28	0.52	0.33	0.41	0.22	0.57	0.56	0.17	0.12
0.10	0.17	0.10	0.08	0.16	0.22	0.06	0.43	0.21	0.13	0.28	0.24	0.19	0.07	0.14	0.37	0.19	0.44	0.33	0.40	0.35	0.61	0.19	0.16	1.00
0.45	0.17	0.21	0.26	0.53	0.21	0.10	0.58	0.29	0.24	0.07	0.11	0.19	0.12	0.08	0.08	0.19	0.66	0.50	0.41	0.49	0.18	0.14	0.59	0.52
0.97	1.06	1.05	0.65	0.23	0.10	0.18	0.36	0.32	0.44	0.09	0.08	0.14	0.12	0.07	0.15	0.23	0.87	0.33	0.35	0.19	0.13	0.55	0.59	0.36
0.23	0.30	0.17	0.21	0.14	0.12	0.20	0.63	0.43	0.31	0.07	0.08	0.09	0.12	0.19	0.22	0.45	0.71	0.22	0.63	0.11	0.43	0.55	0.37	0.29
0.10	0.10	0.15	0.17	0.16	0.12	0.06	0.15	0.39	0.37	0.18	0.10	0.08	0.06	0.19	0.12	0.29	0.50	0.44	0.36	0.24	0.38	0.31	0.55	0.63
0.13	0.15	0.13	0.15	0.21	0.21	0.26	0.13	0.07	0.09	0.18	0.11	0.09	0.04	0.10	0.20	0.16	0.23	0.40	0.19	0.21	0.24	0.44	0.73	0.86
0.21	0.18	0.28	0.20	0.29	0.46	0.50	0.30	0.38	0.32	0.25	0.19	0.14	0.18	0.28	0.18	0.21	0.25	0.17	0.11	0.19	0.14	0.17	0.15	0.18
