Started 11/13/17 10:22:15 in McCain 321
Landscape|Landowners|Budget|Expected Damage|Total Run Time|Second Stage Time|Create Model Time|Optimize Time|Allocation|Levels|Allocation Method|Total Budget Used|Remaining Budget|Maximum Amount Offered|Level Amounts|Area of Each Landowner|Time Completed
SanBernardino|3|20000|180.153299374|86.4555275125|86.4506282386|0.0|0.000620658130856|[0, 0, 0]|2|Risk-based|0.0|20000.0|39.8288066012|[0.0, 39.8288066012]|[723.0355, 719.5759999999999, 719.5759999999999]|11/13/17 10:23:41
SanBernardino|3|20000|180.004541981|85.8549104952|85.8518751868|0.0|0.000504320286922|[0, 0, 0]|2|Risk-based|0.0|20000.0|39.8288066012|[0.0, 39.8288066012]|[723.0355, 719.5759999999999, 719.5759999999999]|11/13/17 10:25:07
SanBernardino|3|20000|179.873339309|91.9670937413|91.9640177573|0.0|0.000561493652754|[0, 0, 0]|2|Risk-based|0.0|20000.0|39.8288066012|[0.0, 39.8288066012]|[723.0355, 719.5759999999999, 719.5759999999999]|11/13/17 10:26:39
SanBernardino|3|20000|179.495094271|86.8460838947|86.8430357863|0.0|0.000519111406447|[0, 0, 0]|2|Risk-based|0.0|20000.0|39.8288066012|[0.0, 39.8288066012]|[723.0355, 719.5759999999999, 719.5759999999999]|11/13/17 10:28:06
SanBernardino|3|20000|180.089154738|85.0123687893|85.0094316143|0.0|0.000406471342387|[0, 0, 0]|2|Risk-based|0.0|20000.0|39.8288066012|[0.0, 39.8288066012]|[723.0355, 719.5759999999999, 719.5759999999999]|11/13/17 10:29:31
SanBernardino|3|20000|142.252622791|88.1854015633|88.1730037606|0.0|0.00803129345786|[0, 2, 0]|5|Risk-based|14329.9266694|5670.07333057|39.8288066012|[0.0, 9.9572016503, 19.9144033006, 29.8716049509, 39.8288066012]|[723.0355, 719.5759999999999, 719.5759999999999]|11/13/17 10:30:59
SanBernardino|3|20000|141.928694312|85.2124104319|85.2007757942|0.0|0.00728946192464|[0, 2, 0]|5|Risk-based|14329.9266694|5670.07333057|39.8288066012|[0.0, 9.9572016503, 19.9144033006, 29.8716049509, 39.8288066012]|[723.0355, 719.5759999999999, 719.5759999999999]|11/13/17 10:32:24
SanBernardino|3|20000|142.057753154|85.125213369|85.1135391935|0.0|0.00725219968126|[0, 2, 0]|5|Risk-based|14329.9266694|5670.07333057|39.8288066012|[0.0, 9.9572016503, 19.9144033006, 29.8716049509, 39.8288066012]|[723.0355, 719.5759999999999, 719.5759999999999]|11/13/17 10:33:49
SanBernardino|3|20000|142.005435101|85.6242498129|85.6124601529|0.0|0.00743111533859|[0, 2, 0]|5|Risk-based|14329.9266694|5670.07333057|39.8288066012|[0.0, 9.9572016503, 19.9144033006, 29.8716049509, 39.8288066012]|[723.0355, 719.5759999999999, 719.5759999999999]|11/13/17 10:35:15
SanBernardino|3|20000|141.837340355|86.1396403994|86.1280111662|0.0|0.00728519525558|[0, 2, 0]|5|Risk-based|14329.9266694|5670.07333057|39.8288066012|[0.0, 9.9572016503, 19.9144033006, 29.8716049509, 39.8288066012]|[723.0355, 719.5759999999999, 719.5759999999999]|11/13/17 10:36:41
SanBernardino|3|20000|131.201853642|89.2050447389|89.163710102|0.0|0.0338668281553|[0, 6, 0]|10|Risk-based|19106.5688926|893.431107423|39.8288066012|[0.0, 4.4254229556888891, 8.8508459113777782, 13.276268867066667, 17.701691822755556, 22.127114778444444, 26.552537734133331, 30.977960689822218, 35.403383645511106, 39.828806601199993]|[723.0355, 719.5759999999999, 719.5759999999999]|11/13/17 10:38:10
SanBernardino|3|20000|131.05573238|100.70714778|100.655769404|0.0|0.0439026027534|[0, 6, 0]|10|Risk-based|19106.5688926|893.431107423|39.8288066012|[0.0, 4.4254229556888891, 8.8508459113777782, 13.276268867066667, 17.701691822755556, 22.127114778444444, 26.552537734133331, 30.977960689822218, 35.403383645511106, 39.828806601199993]|[723.0355, 719.5759999999999, 719.5759999999999]|11/13/17 10:39:51
SanBernardino|3|20000|131.25737284|85.4393912544|85.3998085119|0.0|0.0323069339347|[0, 6, 0]|10|Risk-based|19106.5688926|893.431107423|39.8288066012|[0.0, 4.4254229556888891, 8.8508459113777782, 13.276268867066667, 17.701691822755556, 22.127114778444444, 26.552537734133331, 30.977960689822218, 35.403383645511106, 39.828806601199993]|[723.0355, 719.5759999999999, 719.5759999999999]|11/13/17 10:41:17
SanBernardino|3|20000|131.742146637|86.9459353292|86.9039038031|0.0|0.0346703841681|[0, 6, 0]|10|Risk-based|19106.5688926|893.431107423|39.8288066012|[0.0, 4.4254229556888891, 8.8508459113777782, 13.276268867066667, 17.701691822755556, 22.127114778444444, 26.552537734133331, 30.977960689822218, 35.403383645511106, 39.828806601199993]|[723.0355, 719.5759999999999, 719.5759999999999]|11/13/17 10:42:44
SanBernardino|3|20000|131.002009724|86.952260524|86.9215561509|0.0|0.0232911776945|[0, 6, 0]|10|Risk-based|19106.5688926|893.431107423|39.8288066012|[0.0, 4.4254229556888891, 8.8508459113777782, 13.276268867066667, 17.701691822755556, 22.127114778444444, 26.552537734133331, 30.977960689822218, 35.403383645511106, 39.828806601199993]|[723.0355, 719.5759999999999, 719.5759999999999]|11/13/17 10:44:11
SanBernardino|3|20000|132.865732278|85.889765484|85.8116305417|0.0|0.0675282873051|[0, 9, 0]|15|Risk-based|18424.1914321|1575.80856787|39.8288066012|[0.0, 2.8449147572285716, 5.6898295144571431, 8.5347442716857138, 11.379659028914286, 14.224573786142859, 17.069488543371431, 19.914403300600004, 22.759318057828576, 25.604232815057149, 28.449147572285721, 31.294062329514293, 34.138977086742862, 36.983891843971435, 39.828806601200007]|[723.0355, 719.5759999999999, 719.5759999999999]|11/13/17 10:45:37
SanBernardino|3|20000|132.748778769|86.1554284973|86.0799542499|0.0|0.0650180636549|[0, 9, 0]|15|Risk-based|18424.1914321|1575.80856787|39.8288066012|[0.0, 2.8449147572285716, 5.6898295144571431, 8.5347442716857138, 11.379659028914286, 14.224573786142859, 17.069488543371431, 19.914403300600004, 22.759318057828576, 25.604232815057149, 28.449147572285721, 31.294062329514293, 34.138977086742862, 36.983891843971435, 39.828806601200007]|[723.0355, 719.5759999999999, 719.5759999999999]|11/13/17 10:47:03
SanBernardino|3|20000|133.009368633|84.6437959929|84.5667800558|0.0|0.0664650333667|[0, 9, 0]|15|Risk-based|18424.1914321|1575.80856787|39.8288066012|[0.0, 2.8449147572285716, 5.6898295144571431, 8.5347442716857138, 11.379659028914286, 14.224573786142859, 17.069488543371431, 19.914403300600004, 22.759318057828576, 25.604232815057149, 28.449147572285721, 31.294062329514293, 34.138977086742862, 36.983891843971435, 39.828806601200007]|[723.0355, 719.5759999999999, 719.5759999999999]|11/13/17 10:48:27
SanBernardino|3|20000|132.092987506|86.5739864599|86.5068558261|0.0|0.0564793210194|[0, 9, 0]|15|Risk-based|18424.1914321|1575.80856787|39.8288066012|[0.0, 2.8449147572285716, 5.6898295144571431, 8.5347442716857138, 11.379659028914286, 14.224573786142859, 17.069488543371431, 19.914403300600004, 22.759318057828576, 25.604232815057149, 28.449147572285721, 31.294062329514293, 34.138977086742862, 36.983891843971435, 39.828806601200007]|[723.0355, 719.5759999999999, 719.5759999999999]|11/13/17 10:49:54
SanBernardino|3|20000|132.577428478|86.7417305553|86.6918745269|0.0|0.0393455157166|[0, 9, 0]|15|Risk-based|18424.1914321|1575.80856787|39.8288066012|[0.0, 2.8449147572285716, 5.6898295144571431, 8.5347442716857138, 11.379659028914286, 14.224573786142859, 17.069488543371431, 19.914403300600004, 22.759318057828576, 25.604232815057149, 28.449147572285721, 31.294062329514293, 34.138977086742862, 36.983891843971435, 39.828806601200007]|[723.0355, 719.5759999999999, 719.5759999999999]|11/13/17 10:51:21
SanBernardino|3|20000|129.940593178|86.9083971746|86.7968089866|0.0|0.0979465090538|[0, 13, 0]|20|Risk-based|19609.3733371|390.626662882|39.8288066012|[0.0, 2.0962529790105262, 4.1925059580210524, 6.2887589370315791, 8.3850119160421048, 10.481264895052631, 12.577517874063156, 14.673770853073682, 16.77002383208421, 18.866276811094735, 20.962529790105261, 23.058782769115787, 25.155035748126313, 27.251288727136838, 29.347541706147364, 31.44379468515789, 33.540047664168419, 35.636300643178949, 37.732553622189478, 39.828806601200007]|[723.0355, 719.5759999999999, 719.5759999999999]|11/13/17 10:52:48
SanBernardino|3|20000|130.195483802|87.7383928823|87.62508352|0.0|0.0996776389277|[0, 13, 0]|20|Risk-based|19609.3733371|390.626662882|39.8288066012|[0.0, 2.0962529790105262, 4.1925059580210524, 6.2887589370315791, 8.3850119160421048, 10.481264895052631, 12.577517874063156, 14.673770853073682, 16.77002383208421, 18.866276811094735, 20.962529790105261, 23.058782769115787, 25.155035748126313, 27.251288727136838, 29.347541706147364, 31.44379468515789, 33.540047664168419, 35.636300643178949, 37.732553622189478, 39.828806601200007]|[723.0355, 719.5759999999999, 719.5759999999999]|11/13/17 10:54:15
