Started 11/09/17 14:45:42 in McCain 321
Landscape|Landowners|Budget|Expected Damage|Total Run Time|Second Stage Time|Create Model Time|Optimize Time|Allocation|Levels|Allocation Method|Total Budget Used|Remaining Budget|Maximum Amount Offered|Level Amounts|Area of Each Landowner|Time Completed
SantaFe|3|20000|180.59145034|84.5197033357|84.5146203105|0.0|0.000592782559451|[0, 0, 0]|2|Hybrid|0.0|20000.0|39.8288066012|[0.0, 39.8288066012]|[723.0355, 719.5759999999999, 719.5759999999999]|11/09/17 14:47:07
SantaFe|3|20000|179.841371683|84.1709139461|84.167733571|0.0|0.000570311435581|[0, 0, 0]|2|Hybrid|0.0|20000.0|39.8288066012|[0.0, 39.8288066012]|[723.0355, 719.5759999999999, 719.5759999999999]|11/09/17 14:48:31
SantaFe|3|20000|180.019039175|85.7592534808|85.7560839146|0.0|0.000566613655678|[0, 0, 0]|2|Hybrid|0.0|20000.0|39.8288066012|[0.0, 39.8288066012]|[723.0355, 719.5759999999999, 719.5759999999999]|11/09/17 14:49:57
SantaFe|3|20000|180.35922357|86.6223096162|86.619255819|0.0|0.000504889176113|[0, 0, 0]|2|Hybrid|0.0|20000.0|39.8288066012|[0.0, 39.8288066012]|[723.0355, 719.5759999999999, 719.5759999999999]|11/09/17 14:51:24
SantaFe|3|20000|180.161973897|84.7105554264|84.7074490069|0.0|0.0005097247344|[0, 0, 0]|2|Hybrid|0.0|20000.0|39.8288066012|[0.0, 39.8288066012]|[723.0355, 719.5759999999999, 719.5759999999999]|11/09/17 14:52:48
SantaFe|3|20000|142.544075842|85.1462400832|85.1294444825|0.0|0.0122672425343|[0, 2, 0]|5|Hybrid|14329.9266694|5670.07333057|39.8288066012|[0.0, 9.9572016503, 19.9144033006, 29.8716049509, 39.8288066012]|[723.0355, 719.5759999999999, 719.5759999999999]|11/09/17 14:54:14
SantaFe|3|20000|141.824250705|83.6642706001|83.6481386087|0.0|0.0116039177124|[0, 2, 0]|5|Hybrid|14329.9266694|5670.07333057|39.8288066012|[0.0, 9.9572016503, 19.9144033006, 29.8716049509, 39.8288066012]|[723.0355, 719.5759999999999, 719.5759999999999]|11/09/17 14:55:37
SantaFe|3|20000|141.899685875|84.7556930877|84.7393213095|0.0|0.0118661756395|[0, 2, 0]|5|Hybrid|14329.9266694|5670.07333057|39.8288066012|[0.0, 9.9572016503, 19.9144033006, 29.8716049509, 39.8288066012]|[723.0355, 719.5759999999999, 719.5759999999999]|11/09/17 14:57:02
SantaFe|3|20000|141.75803694|86.1534453495|86.136384362|0.0|0.0125391715778|[0, 2, 0]|5|Hybrid|14329.9266694|5670.07333057|39.8288066012|[0.0, 9.9572016503, 19.9144033006, 29.8716049509, 39.8288066012]|[723.0355, 719.5759999999999, 719.5759999999999]|11/09/17 14:58:28
SantaFe|3|20000|141.777315159|85.7095191947|85.6932739944|0.0|0.011766051138|[0, 2, 0]|5|Hybrid|14329.9266694|5670.07333057|39.8288066012|[0.0, 9.9572016503, 19.9144033006, 29.8716049509, 39.8288066012]|[723.0355, 719.5759999999999, 719.5759999999999]|11/09/17 14:59:54
