0.39	0.20	0.26	0.24	0.36	0.26	0.19	0.68	0.40	0.20	0.27	0.67	0.24	0.18	0.19	0.15	0.22	0.17	0.14	0.18	1.16	0.47	0.33	0.27	0.37
0.34	0.24	0.22	0.34	0.17	0.46	0.20	0.19	0.45	0.23	0.23	0.61	0.43	0.29	0.18	0.20	0.17	0.15	0.28	0.33	1.39	0.66	0.31	0.30	0.26
0.14	0.32	0.23	0.23	0.18	0.66	0.22	0.16	0.19	0.34	0.17	0.41	0.25	0.37	0.22	0.17	0.16	0.25	0.14	0.26	1.11	0.45	0.33	0.28	0.34
0.23	0.23	0.30	0.25	0.15	0.41	0.30	0.19	0.14	0.38	0.20	0.20	0.25	0.34	0.18	0.21	0.15	0.31	0.36	0.24	0.42	0.41	0.37	0.28	0.28
0.41	0.24	0.22	0.25	0.17	0.25	0.34	0.21	0.15	0.27	0.25	0.17	0.19	0.27	0.24	0.17	0.34	0.24	0.26	0.14	0.27	0.42	0.33	0.33	0.47
0.38	0.36	0.29	0.20	0.23	0.14	0.35	0.30	0.17	0.15	0.41	0.22	0.17	0.21	0.50	0.41	0.17	0.15	0.23	0.19	0.17	0.40	0.28	0.30	0.31
0.30	0.37	0.33	0.30	0.23	0.21	0.27	0.28	0.19	0.22	0.21	0.33	0.22	0.19	0.48	0.33	0.20	0.20	0.14	0.15	0.26	0.41	0.47	0.43	0.50
0.27	0.29	0.26	0.38	0.32	0.20	0.22	0.32	0.20	0.18	0.27	0.27	0.31	0.32	0.53	0.30	0.23	0.21	0.22	0.22	0.25	0.38	0.48	0.61	0.52
0.17	0.18	0.22	0.25	0.41	0.34	0.19	0.23	0.20	0.16	0.23	0.23	0.34	0.31	0.42	0.23	0.27	0.33	0.17	0.16	0.15	0.54	0.73	0.69	0.59
0.19	0.18	0.19	0.27	0.32	0.43	0.31	0.25	0.29	0.26	0.21	0.21	0.26	0.24	0.31	0.37	0.25	0.30	0.23	0.15	0.19	0.49	1.51	0.58	0.55
0.24	0.18	0.18	0.18	0.21	0.29	0.38	0.34	0.41	0.42	0.35	0.28	0.20	0.27	0.29	0.32	0.35	0.33	0.30	0.35	0.30	0.39	1.69	1.17	0.77
0.26	0.21	0.19	0.17	0.20	0.24	0.25	0.48	0.25	0.31	0.58	0.49	0.36	0.46	0.30	0.24	0.28	0.32	0.34	0.38	0.29	0.49	0.97	1.20	0.54
0.28	0.21	0.20	0.17	0.20	0.27	0.24	0.35	0.33	0.32	0.27	0.35	0.49	0.83	0.41	0.25	0.24	0.32	0.51	0.32	0.24	0.38	1.07	0.71	0.28
0.34	0.37	0.21	0.18	0.22	0.17	0.21	0.23	0.33	0.21	0.23	0.38	0.32	0.46	0.83	0.43	0.33	0.56	0.31	0.28	0.32	0.48	0.68	1.18	0.85
0.32	0.42	0.31	0.21	0.22	0.19	0.18	0.16	0.38	0.32	0.27	0.31	0.28	0.33	0.24	0.68	0.44	0.26	0.43	0.68	0.64	0.65	0.71	0.64	1.71
0.22	0.72	0.66	0.37	0.20	0.17	0.19	0.19	0.21	0.50	0.36	0.25	0.29	0.28	0.30	0.22	0.60	0.48	0.69	0.37	0.19	0.35	0.60	0.31	0.69
0.25	0.26	0.23	0.49	0.41	0.18	0.39	0.21	0.28	0.25	0.54	0.33	0.39	0.33	0.28	0.28	0.36	0.64	0.48	0.32	0.49	0.77	0.53	0.50	0.63
0.22	0.22	0.24	0.25	0.56	0.39	0.27	0.26	0.28	0.27	0.26	0.47	0.57	0.35	0.33	0.28	0.22	0.42	0.51	0.53	0.42	0.67	0.40	0.46	0.60
0.19	0.20	0.19	0.17	0.23	0.28	0.65	0.36	0.30	0.29	0.28	0.31	0.44	0.46	0.31	0.29	0.28	0.19	0.51	0.42	0.53	0.69	0.52	0.30	0.44
0.29	0.19	0.17	0.18	0.28	0.19	0.32	0.58	0.54	0.32	0.30	0.32	0.37	0.38	0.38	0.22	0.28	0.23	0.44	0.43	0.44	0.66	0.39	0.39	0.36
0.32	0.29	0.19	0.18	0.20	0.20	0.19	0.19	0.27	0.27	0.41	0.43	0.34	0.34	0.39	0.40	0.28	0.26	0.30	0.41	0.49	0.72	0.31	0.19	0.17
0.18	0.26	0.32	0.18	0.17	0.19	0.22	0.18	0.22	0.24	0.24	0.61	0.49	0.40	0.37	0.41	0.30	0.25	0.19	0.31	0.34	0.45	0.37	0.36	0.37
0.21	0.14	0.26	0.25	0.17	0.17	0.17	0.19	0.20	0.17	0.16	0.27	0.39	0.32	0.33	0.47	0.47	0.33	0.36	0.35	0.39	0.42	0.25	0.27	0.51
0.20	0.18	0.17	0.24	0.33	0.27	0.21	0.18	0.17	0.17	0.23	0.20	0.20	0.29	0.19	0.12	0.26	0.21	0.42	0.52	0.37	0.30	0.25	0.45	0.59
0.20	0.24	0.20	0.26	0.23	0.34	0.23	0.23	0.18	0.14	0.14	0.11	0.15	0.33	0.32	0.19	0.22	0.14	0.12	0.42	0.54	0.38	0.26	0.54	0.69
